,Unnamed: 0.1,Name,Birthday,Place_of_birth,Weight,Height,Reach,Stance,Total Fights,Wins,Wins by KO,Losses,Draws,No Contests,Sex,Height_cm,Reach_cm,Country,Nationality,Sign,Weight_class
853,853,Chris Eubank,1966-08-08,"Dulwich, London, England",middleweight/middleweight/cruiserweight,5 ft 10 in (178 cm)[1],73 in (185 cm)[1],Orthodox,52,45.0,23.0,5.0,2.0,,M,178.0,185.0,England,British,Leo,middleweight
854,854,Steve Collins,1964-07-21,"Cabra, Dublin, Ireland",middleweight/middleweight,6 ft (183 cm),71 in (180 cm),Orthodox,39,36.0,21.0,3.0,,,M,183.0,180.0,Ireland,Irish,Cancer,middleweight
855,855,Denis Inkin,1978-01-07,"Novosibirsk, Russian SFSR, Soviet Union",middleweight,182 cm (6 ft 0 in),,Orthodox,35,34.0,24.0,1.0,,,M,182.0,,Russia,Russian,Capricorn,middleweight
856,856,Károly Balzsay,1979-07-23,"Kecskemét, Bács-Kiskun,Hungary",middleweight,1.83 m (6 ft 0 in),,Southpaw,27,25.0,18.0,2.0,,,M,183.0,,Hungary,Hungarian,Leo,middleweight
857,857,Robert Stieglitz,1981-06-20,"Yeysk, Krasnodar Krai, Russian SFSR, Soviet Union",middleweight/heavyweight,1.80 m (5 ft 11 in),,Orthodox,57,50.0,29.0,5.0,2.0,,M,180.0,,Russia,Russian,Gemini,middleweight
858,858,Gilberto Ramírez,1991-06-19,"Mazatlán, Sinaloa, Mexico",middleweight/middleweight/heavyweight/cruiserweight,6 ft 3 in (191 cm)[1],75 in (191 cm)[1],Southpaw,46,45.0,30.0,1.0,,,M,191.0,191.0,Mexico,Mexican,Gemini,middleweight
859,859,Billy Joe Saunders,1989-08-30,"Welwyn Garden City, Hertfordshire, England",middleweight/middleweight,5 ft 11 in (180 cm)[1],71 in (180 cm)[1],Southpaw,31,30.0,14.0,1.0,,,M,180.0,180.0,England,British,Virgo,middleweight
860,860,Doug DeWitt,1961-08-13,"Youngstown, Ohio, U.S.",middleweight,5 ft 9 in (175 cm),65+1⁄2 in (166 cm),Orthodox,46,33.0,19.0,8.0,5.0,,M,175.0,166.0,USA,American,Leo,middleweight
861,861,Nigel Benn,1964-01-22,"Ilford, East London, England",middleweight/middleweight,5 ft 9+1⁄2 in (177 cm)[1],73 in (185 cm)[1],Orthodox,48,42.0,35.0,5.0,1.0,,M,177.0,185.0,England,British,Aquarius,middleweight
862,862,Gerald McClellan,1967-10-23,"Freeport, Illinois, U.S.",middleweight/middleweight,6 ft 1 in (185 cm)[1],77 in (196 cm)[1],Orthodox,34,31.0,29.0,3.0,,,M,185.0,196.0,USA,American,Scorpio,middleweight
863,863,Chris Pyatt,1963-07-03,"Islington, England",middleweight/middleweight,5 ft 8+1⁄2 in (174 cm),,Orthodox,51,46.0,33.0,5.0,,,M,174.0,,England,British,Cancer,middleweight
864,864,Lonnie Bradley,1968-09-16,"Charleston, South Carolina, U.S.",middleweight,5 ft 11 in (180 cm),76 in (193 cm),Orthodox,31,29.0,21.0,1.0,1.0,,M,180.0,193.0,USA,American,Virgo,middleweight
865,865,Otis Grant,1967-12-23,"Saint Ann Parish, Jamaica",middleweight/middleweight/heavyweight,5 ft 9+1⁄2 in (177 cm),71 in (180 cm),Southpaw,42,38.0,17.0,3.0,1.0,0.0,M,177.0,180.0,Jamaica,Jamaican,Capricorn,middleweight
866,866,Bert Schenk,1970-11-14,"Berlin, Germany",middleweight,5 ft 9+1⁄2 in (177 cm),74 in (188 cm),Southpaw,38,36.0,23.0,2.0,0.0,0.0,M,177.0,188.0,Germany,German,Scorpio,middleweight
867,867,Armand Krajnc,1973-08-07,"Landskrona, Scania,Sweden",middleweight/middleweight,1.81 m (5 ft 11 in),191 cm (75 in),Orthodox,32,29.0,21.0,3.0,,,M,181.0,190.5,Sweden,Swedish,Leo,middleweight
868,868,Héctor Velazco,1973-05-20,"Avellaneda, Argentina",middleweight/middleweight,179 cm (5 ft 10 in),,Orthodox,47,37.0,16.0,9.0,1.0,,M,179.0,,Argentina,Argentine,Taurus,middleweight
869,869,Dmitry Pirog,1980-06-27,"Temryuk, Russian SFSR, Soviet Union (now Russia)",middleweight,1.85 m (6 ft 1 in),178 cm (70 in),Orthodox,20,20.0,15.0,,,,M,185.0,177.8,Russia,Russian,Cancer,middleweight
870,870,Hassan N'Dam N'Jikam,1984-02-18,"Buea, Cameroon",middleweight/middleweight,1.81 m (5 ft 11 in)[1],1.87 m (74 in)[1],Orthodox,44,38.0,21.0,6.0,,,M,181.0,188.0,Cameroon,Cameroonian,Aquarius,middleweight
871,871,Peter Quillin,1983-06-22,"Chicago, Illinois, U.S.",middleweight/middleweight,5 ft 11 in (180 cm),72+1⁄2 in (184 cm),Orthodox,38,34.0,23.0,2.0,1.0,1.0,M,180.0,184.0,USA,American,Cancer,middleweight
872,872,Demetrius Andrade,1988-02-26,"Providence, Rhode Island, U.S.",middleweight/middleweight/middleweight,6 ft 1 in (185 cm)[1],73+1⁄2 in (187 cm)[1],Southpaw,33,32.0,19.0,1.0,,,M,185.0,187.0,USA,American,Pisces,middleweight
873,873,Bronco McKart,1971-03-20,"Monroe, Michigan, U.S.",welterweight/middleweight/middleweight,6 ft 0 in (1.83 m),72 in (183 cm),Southpaw,68,56.0,34.0,11.0,1.0,,M,183.0,183.0,USA,American,Pisces,welterweight
874,874,Serhiy Dzyndzyruk,1976-03-01,"Nyzhnohirskyi, Ukrainian SSR, Soviet Union",middleweight/middleweight,6 ft 0 in (183 cm),68 in (173 cm),Southpaw,40,37.0,24.0,2.0,1.0,,M,183.0,173.0,Ukraine,Ukrainian,Pisces,middleweight
875,875,Sadam Ali,1988-09-26,"Brooklyn, New York City,New York, U.S.",welterweight/middleweight,5 ft 8 in (173 cm)[1],73 in (185 cm),Orthodox,30,27.0,14.0,3.0,,,M,173.0,185.0,USA,American,Libra,welterweight
876,876,Jaime Munguía,1996-10-06,"Tijuana, Baja California, Mexico",middleweight/middleweight/middleweight,6 ft 0 in (183 cm),72 in (183 cm),Orthodox,43,43.0,34.0,,,,M,183.0,183.0,Mexico,Mexican,Libra,middleweight
877,877,Patrick Teixeira,1990-12-05,"Sombrio, Brazil",middleweight/middleweight,5 ft 11+1⁄2 in (182 cm),76+1⁄2 in (194 cm),Southpaw,37,33.0,24.0,4.0,,,M,182.0,194.0,Brazil,Brazilian,Sagittarius,middleweight
878,878,Brian Castaño,1989-09-12,"Isidro Casanova, Argentina",middleweight,5 ft 7.5 in (171 cm),68 in (173 cm),Orthodox,20,17.0,12.0,1.0,2.0,,M,171.0,173.0,Argentina,Argentine,Virgo,middleweight
879,879,Tim Tszyu,1994-11-02,"Sydney, Australia",middleweight,5 ft 9 in (175 cm)[1],70+1⁄2 in (179 cm)[1],Orthodox,24,24.0,17.0,,,,M,175.0,179.0,Australia,Australian,Scorpio,middleweight
880,880,Manning Galloway,1960-04-27,"Columbus, Ohio",welterweight,5 ft 9 in (1.75 m),,Southpaw,85,63.0,14.0,19.0,1.0,2.0,M,175.0,,USA,American,Taurus,welterweight
881,881,Gert Bo Jacobsen,1961-12-18,"Østrup, Denmark",welterweight,5 ft 9 in (175 cm),,Orthodox,49,43.0,30.0,5.0,0.0,1.0,M,175.0,,Denmark,Danish,Sagittarius,welterweight
882,882,Eamonn Loughran,1970-06-05,"Ballymena, Northern Ireland",welterweight/middleweight,5 ft 9 in (175 cm),,,30,26.0,12.0,2.0,1.0,,M,175.0,,Ireland,Irish,Gemini,welterweight
883,883,Mihai Leu,1969-02-13,"Hunedoara, Hunedoara County, Romania",welterweight,5 ft 7+1⁄2 in (171 cm),,Orthodox,28,28.0,10.0,0.0,0.0,,M,171.0,,Romania,Romanian,Aquarius,welterweight
884,884,Akhmed Kotiev,1968-01-15,"Vladikavkaz, Russia",welterweight,5 ft 8 in (173 cm),,Orthodox,30,27.0,15.0,2.0,,1.0,M,173.0,,Russia,Russian,Capricorn,welterweight
885,885,Timothy Bradley,1983-08-29,"Palm Springs, California, U.S.",welterweight/welterweight,5 ft 6 in (168 cm),69 in (175 cm),Orthodox,37,33.0,13.0,2.0,1.0,1.0,M,168.0,175.0,USA,American,Virgo,welterweight
886,886,Jessie Vargas,1989-05-10,"Los Angeles, California, U.S.",welterweight/welterweight/middleweight,5 ft 11 in (180 cm)[1],71 in (180 cm)[1],Orthodox,35,29.0,11.0,4.0,2.0,,M,180.0,180.0,USA,American,Taurus,welterweight
887,887,Jeff Horn,1988-02-04,"Brisbane, Queensland, Australia",welterweight/middleweight/middleweight,5 ft 9 in (175 cm)[1],69+1⁄2 in (177 cm)[1],Orthodox,24,20.0,13.0,3.0,1.0,,M,175.0,177.0,Australia,Australian,Aquarius,welterweight
888,888,Héctor Camacho,1962-05-24,"Bayamón, Puerto Rico",featherweight/lightweight/welterweight/welterweight/middleweight/middleweight/middleweight,5 ft 7 in (170 cm)[1],67 in (170 cm)[1],Southpaw,88,79.0,38.0,6.0,3.0,,M,170.0,170.0,Puerto Rico,American(Puerto Rican),Gemini,featherweight
889,889,Zack Padilla,1963-03-15,"Azusa, California, U.S.",welterweight,5 ft 7+1⁄2 in (171 cm),70 in (178 cm),Orthodox,24,22.0,14.0,1.0,1.0,,M,171.0,178.0,USA,American,Pisces,welterweight
890,890,Giovanni Parisi,,,lightweight/welterweight/welterweight,5 ft 8 in (173 cm),,Orthodox,47,41.0,29.0,5.0,1.0,,M,173.0,,,,,lightweight
891,891,DeMarcus Corley,1974-06-03,"Washington, D.C., U.S.",lightweight/welterweight/welterweight,5 ft 7 in (170 cm),70 in (178 cm),Southpaw,87,52.0,28.0,34.0,1.0,,M,170.0,178.0,USA,American,Gemini,lightweight
892,892,Kendall Holt,1981-06-14,"Paterson, New Jersey, U.S.",welterweight,5 ft 9 in (175 cm),74 in (188 cm),Orthodox,34,28.0,16.0,6.0,,,M,175.0,188.0,USA,American,Gemini,welterweight
893,893,Mike Alvarado,1980-07-28,"Denver, Colorado, U.S.",welterweight/welterweight,5 ft 9 in (175 cm),69+1⁄2 in (177 cm),Orthodox,45,40.0,28.0,5.0,,,M,175.0,177.0,USA,American,Leo,welterweight
894,894,Ruslan Provodnikov,1984-01-20,"Beryozovo, Soviet Union",welterweight/welterweight,1.68 m (5 ft 6 in),168 cm (66 in),Orthodox,30,25.0,18.0,5.0,,,M,168.0,167.6,Russia,Russian,Aquarius,welterweight
895,895,Chris Algieri,1984-03-02,"Huntington, New York, U.S.",welterweight/welterweight,5 ft 10 in (178 cm)[1],72 in (183 cm)[1],Orthodox,29,25.0,9.0,4.0,,,M,178.0,183.0,USA,American,Pisces,welterweight
896,896,Maurice Hooker,1989-08-07,"Dallas, Texas, U.S.",welterweight/welterweight,5 ft 11 in (180 cm),80 in (203 cm),Orthodox,33,27.0,18.0,3.0,3.0,,M,180.0,203.0,USA,American,Leo,welterweight
897,897,Mauricio Aceves,1960-12-18,"Mexico City, Mexico",welterweight/welterweight/lightweight,1.85 m (6 ft 1 in),191 cm (75 in),Southpaw,43,26.0,20.0,16.0,1.0,,M,185.0,190.5,Mexico,Mexican,Sagittarius,lightweight
898,898,Artur Grigorian,1967-10-20,"Tashkent, Uzbek SSR, Soviet Union[1]",lightweight,5 ft 7+1⁄2 in (1.71 m),69 in (175 cm),Southpaw,39,38.0,23.0,1.0,0.0,0.0,M,171.0,175.0,Uzbekistan,Uzbek,Libra,lightweight
899,899,Acelino Freitas,1975-09-21,"Salvador, Bahia, Brazil",featherweight/lightweight/middleweight,5 ft 6 in (168 cm)[1],69 in (175 cm)[1],Orthodox,43,41.0,34.0,2.0,,,M,168.0,175.0,Brazil,Brazilian,Virgo,featherweight
900,900,Ricky Burns,1983-04-13,"Coatbridge, Lanarkshire, Scotland",featherweight/lightweight/welterweight/welterweight,5 ft 9 in (175 cm),70 in (178 cm),Orthodox,54,45.0,17.0,8.0,1.0,,M,175.0,178.0,Scotland,British(scottish),Aries,featherweight
901,901,Ray Beltrán,1981-07-23,"Los Mochis, Sinaloa, Mexico",featherweight/featherweight/lightweight/welterweight,5 ft 8 in (173 cm),71 in (180 cm),Orthodox,49,37.0,23.0,10.0,1.0,1.0,M,173.0,180.0,Mexico,Mexican,Leo,featherweight
902,902,Kamel Bou Ali,1958-12-06,"Tunis, Tunisia",featherweight,5 ft 6 in (168 cm),,Orthodox,43,37.0,15.0,6.0,,,M,168.0,,Tunisia,Tunisian,Sagittarius,featherweight
903,903,Daniel Londas,1954-05-17,"Fort-de-France, Martinique",featherweight/lightweight,166 cm (5 ft 5 in),,,68,58.0,25.0,9.0,1.0,,M,166.0,,France,French,Taurus,featherweight
904,904,Regilio Tuur,1967-08-12,"Paramaribo, Suriname",featherweight/lightweight,5 ft 7.5 in (1.71 m),,Orthodox,51,46.0,30.0,4.0,1.0,,M,171.0,,Suriname,Surinamese,Leo,featherweight
905,905,Mike Anchondo,1982-04-15,"Los Angeles, California, U.S.",featherweight,5 ft 5 in (165 cm),66 in (168 cm),Orthodox,33,30.0,19.0,3.0,,,M,165.0,168.0,USA,American,Aries,featherweight
906,906,Jorge Rodrigo Barrios,1976-08-01,"Tigre, Buenos Aires, Argentina",featherweight,5 ft 6 in (168 cm),,Orthodox,60,53.0,36.0,5.0,1.0,1.0,M,168.0,,Argentina,Argentine,Leo,featherweight
907,907,Joan Guzmán,1976-05-01,"Santo Domingo, Dominican Republic",bantamweight/featherweight/featherweight/lightweight/welterweight,5 ft 7 in (170 cm),67 in (170 cm),Orthodox,37,34.0,21.0,1.0,1.0,1.0,M,170.0,170.0,Dominican Republic,Dominican,Taurus,bantamweight
908,908,Alex Arthur,1978-06-26,"Edinburgh, Scotland",featherweight,5 ft 9 in (175 cm),69 in (175 cm),Orthodox,34,31.0,21.0,3.0,,,M,175.0,175.0,Scotland,British(scottish),Cancer,featherweight
909,909,Nicky Cook,1979-09-13,"Stepney, London, England",featherweight/featherweight,5 ft 6+1⁄2 in (169 cm),,Orthodox,33,33.0,16.0,3.0,,,M,169.0,,England,British,Virgo,featherweight
910,910,Adrien Broner,1989-07-28,"Cincinnati, Ohio, U.S.",featherweight/lightweight/welterweight/welterweight,5 ft 6+1⁄2 in (169 cm)[1],69+1⁄2 in (177 cm)[1],Orthodox,41,35.0,24.0,4.0,1.0,1.0,M,169.0,177.0,USA,American,Leo,featherweight
911,911,Miguel Beltrán Jr.,1989-07-21,"Los Mochis, Sinaloa, Mexico",featherweight/featherweight/lightweight,5 ft 7 in (170 cm),65 in (165 cm),Orthodox,43,34.0,23.0,8.0,,1.0,M,170.0,165.0,Mexico,Mexican,Cancer,featherweight
912,912,Masayuki Ito,1991-01-19,"Kōtō, Tokyo, Japan",featherweight/lightweight,5 ft 8+1⁄2 in (174 cm)[1],68+1⁄2 in (174 cm)[1],Orthodox,34,28.0,15.0,4.0,1.0,,M,174.0,174.0,Japan,Japanese,Capricorn,featherweight
913,913,Jamel Herring,1985-10-30,"Rockville Centre, New York, U.S.",featherweight/lightweight,5 ft 10 in (178 cm),70 in (178 cm),Southpaw,28,24.0,12.0,4.0,,,M,178.0,178.0,USA,American,Scorpio,featherweight
914,914,Emanuel Navarrete,1995-01-17,"San Juan Zitlaltepec, Estado de Mexico, Mexico",flyweight/bantamweight/featherweight/featherweight,5 ft 7 in (170 cm),72 in (183 cm),Orthodox,40,38.0,31.0,1.0,1.0,,M,170.0,183.0,Mexico,Mexican,Capricorn,flyweight
915,915,Maurizio Stecca,1963-03-09,"Santarcangelo di Romagna, Italy",featherweight,5 ft 6+1⁄2 in (169 cm),,Orthodox,53,49.0,22.0,4.0,0.0,0.0,M,169.0,,Italy,Italian,Pisces,featherweight
916,916,Louie Espinoza,1962-05-12,"Winkelman, Arizona, US",bantamweight/featherweight,5 ft 8 in (173 cm),,Orthodox,66,52.0,44.0,12.0,2.0,,M,173.0,,USA,American,Taurus,bantamweight
917,917,Colin McMillan,1966-02-12,"London, England",featherweight,,,,35,31.0,14.0,4.0,,,M,,,England,British,Aquarius,featherweight
918,918,Pablo Chacón,1975-05-22,"Las Heras, Mendoza, Argentina",featherweight/featherweight,5 ft 4 in (163 cm),,Orthodox,61,54.0,37.0,7.0,,,M,163.0,,Argentina,Argentine,Gemini,featherweight
919,919,Steven Luevano,1981-03-03,"Los Angeles, California, U.S.",featherweight/featherweight,5 ft 9 in (175 cm),72 in (183 cm),Southpaw,40,37.0,15.0,2.0,1.0,,M,175.0,183.0,USA,American,Pisces,featherweight
920,920,Orlando Cruz,1981-07-01,"Yabucoa, Puerto Rico",lightweight,5 ft 4 in (1.63 m),,Southpaw,34,25.0,13.0,7.0,2.0,,M,163.0,,Puerto Rico,American(Puerto Rican),Cancer,lightweight
921,921,Óscar Valdez,1990-12-22,"Nogales, Sonora, Mexico",featherweight/featherweight,5 ft 5 in (165 cm)[1],66 in (168 cm)[1],Orthodox,33,31.0,23.0,2.0,,,M,165.0,168.0,Mexico,Mexican,Capricorn,featherweight
922,922,Robeisy Ramírez,1993-12-20,"Cienfuegos, Cuba",featherweight,5 ft 5 in (165 cm),68 in (173 cm),Southpaw,15,13.0,8.0,2.0,,,M,165.0,173.0,Cuba,Cuban,Sagittarius,featherweight
923,923,Rafael Espinoza,1994-04-21,"Guadalajara, Jalisco, Mexico",featherweight,6 ft 1 in (185 cm),74 in (188 cm),Orthodox,24,24.0,20.0,,,,M,185.0,188.0,Mexico,Mexican,Taurus,featherweight
924,924,Kenny Mitchell,1960-02-07,"Stockton, California, USA",bantamweight/bantamweight,5 ft 2 in (157 cm),,Orthodox,40,22.0,5.0,15.0,3.0,,M,157.0,,USA,American,Aquarius,bantamweight
925,925,Valerio Nati,1956-04-11,"Dovadola, Italy",bantamweight/bantamweight/featherweight,5 ft 5 in (165 cm),,Orthodox,55,46.0,28.0,5.0,4.0,0.0,M,165.0,,Italy,Italian,Aries,bantamweight
926,926,Jesse Benavides,1963-11-03,"Corpus Christi, Texas, US",bantamweight/featherweight,5 ft 4 in (163 cm),,Orthodox,46,40.0,25.0,5.0,1.0,,M,163.0,,USA,American,Scorpio,bantamweight
927,927,Richie Wenton,1967-10-28,"Liverpool, England",bantamweight/featherweight,5 ft 8 in (173 cm),70 in (178 cm),,30,24.0,10.0,6.0,,,M,173.0,178.0,England,British,Scorpio,bantamweight
928,928,Agapito Sánchez,1970-02-14,"La Victoria, Dominican Republic",bantamweight,5 ft 4 in (1.63 m),,,50,36.0,18.0,11.0,3.0,,M,163.0,,Dominican Republic,Dominican,Aquarius,bantamweight
929,929,Daniel Ponce de León,1980-07-27,"Ciudad Cuauhtémoc,Chihuahua, Mexico",bantamweight/bantamweight/featherweight/featherweight,5 ft 5 in (165 cm),70 in (178 cm),Southpaw,52,45.0,35.0,7.0,,,M,165.0,178.0,Mexico,Mexican,Leo,bantamweight
930,930,Wilfredo Vázquez Jr.,1984-06-18,"Bayamón, Puerto Rico",bantamweight/featherweight,5 ft 5+1⁄2 in (166 cm),66 in (168 cm),Orthodox,33,25.0,20.0,7.0,1.0,,M,166.0,168.0,Puerto Rico,American(Puerto Rican),Gemini,bantamweight
931,931,Jorge Arce,1979-07-27,"Los Mochis, Sinaloa, Mexico",flyweight/flyweight/flyweight/bantamweight/bantamweight/featherweight,5 ft 4+1⁄2 in (164 cm),66 in (168 cm),Orthodox,75,64.0,49.0,8.0,2.0,1.0,M,164.0,168.0,Mexico,Mexican,Leo,flyweight
932,932,Jessie Magdaleno,1991-11-08,"Pomona, California, U.S.",bantamweight/featherweight,5 ft 4 in (163 cm),66 in (168 cm),Southpaw,31,29.0,18.0,2.0,,,M,163.0,168.0,USA,American,Scorpio,bantamweight
933,933,Isaac Dogboe,1994-09-26,"Accra, Ghana",bantamweight/featherweight,5 ft 2 in (157 cm)[1],64 in (163 cm),Orthodox,28,24.0,16.0,4.0,,,M,157.0,163.0,Ghana,Ghanaian,Libra,bantamweight
934,934,Angelo Leo,1994-05-15,"Albuquerque, New Mexico, U.S.",bantamweight,5 ft 6 in (168 cm),69 in (175 cm),Orthodox,24,23.0,11.0,1.0,,,M,168.0,175.0,USA,American,Taurus,bantamweight
935,935,Israel Contreras,1960-12-27,"La Guaira, Venezuela",flyweight/bantamweight,,,Orthodox,42,38.0,27.0,3.0,1.0,0.0,M,,,Venezuela,Venezuelan,Capricorn,flyweight
936,936,Alfred Kotey,1968-06-03,"Accra, Ghana",flyweight/bantamweight/bantamweight/featherweight/featherweight/lightweight,5 ft 5 in (165 cm),68 in (173 cm),Orthodox,43,26.0,17.0,16.0,1.0,,M,165.0,173.0,Ghana,Ghanaian,Gemini,flyweight
937,937,Robbie Regan,1968-08-30,"Caerphilly, Wales",flyweight/bantamweight,5 ft 4 in (163 cm),,,22,17.0,7.0,2.0,3.0,,M,163.0,,Wales,British,Virgo,flyweight
938,938,Jorge Eliécer Julio,1969-04-04,"El Retén, Colombia",bantamweight/bantamweight,5 ft 5 in (165 cm)[1],68 in (173 cm)[1],Orthodox,49,44.0,32.0,5.0,,,M,165.0,173.0,Colombia,Colombian,Aries,bantamweight
939,939,Cruz Carbajal,1974-05-03,"Veracruz, Mexico",flyweight/bantamweight/bantamweight,1.65 m (5 ft 5 in),165 cm (65 in),Orthodox,53,32.0,26.0,19.0,2.0,0.0,M,165.0,165.1,Mexico,Mexican,Taurus,flyweight
940,940,Ratanachai Sor Vorapin,1976-11-01,"Dankhuntod, Nakhon Ratchasima, Thailand",flyweight/bantamweight,5 ft 5 in (165 cm),,Southpaw,89,75.0,50.0,14.0,0.0,0.0,M,165.0,,Thailand,Thai,Scorpio,flyweight
941,941,Gerry Peñalosa,1972-08-07,"San Carlos, Negros Occidental, Philippines",flyweight/flyweight/bantamweight/bantamweight,5 ft 4 in (163 cm),65 in (165 cm),Southpaw,65,55.0,37.0,8.0,2.0,,M,163.0,165.0,Philippines,Filipino,Leo,flyweight
942,942,Fernando Montiel,1979-03-01,"Los Mochis, Sinaloa, Mexico",flyweight/flyweight/bantamweight/bantamweight/featherweight,5 ft 4 in (163 cm)[1],66+1⁄2 in (169 cm)[1],Orthodox,62,54.0,39.0,6.0,2.0,,M,163.0,169.0,Mexico,Mexican,Pisces,flyweight
943,943,Pungluang Sor Singyu,1988-09-08,"Uthai Thani, Thailand",bantamweight,5 ft 4+1⁄2 in (164 cm),67 in (170 cm),Orthodox,65,54.0,36.0,11.0,,,M,164.0,170.0,Thailand,Thai,Virgo,bantamweight
944,944,Tomoki Kameda,1991-07-12,"Osaka, Japan",bantamweight/bantamweight,5 ft 7+1⁄2 in (171 cm),67 in (170 cm),Orthodox,44,40.0,22.0,4.0,,,M,171.0,170.0,Japan,Japanese,Cancer,bantamweight
945,945,Jason Moloney,1991-01-10,"Melbourne, Australia",bantamweight/bantamweight,165 cm (5 ft 5 in),170 cm (67 in),,29,27.0,19.0,2.0,,,M,165.0,170.2,Australia,Australian,Capricorn,bantamweight
946,946,José Ruíz Matos,1966-10-24,"Trujillo Alto, Puerto Rico",flyweight,,,Orthodox,26,22.0,9.0,4.0,,,M,,,Puerto Rico,American(Puerto Rican),Scorpio,flyweight
947,947,José Quirino,1968-04-19,"Tijuana, Baja California, Mexico",flyweight/flyweight,1.68 m (5 ft 6 in),185 cm (73 in),Orthodox,59,36.0,15.0,22.0,1.0,0.0,M,168.0,185.4,Mexico,Mexican,Aries,flyweight
948,948,Victor Godoi,1975-03-31,"Comodoro Rivadavia, Argentina",flyweight/flyweight/bantamweight,,,Orthodox,36,31.0,27.0,5.0,0.0,0.0,M,,,Argentina,Argentine,Aries,flyweight
949,949,Adonis Rivas,1972-12-07,"León, Nicaragua",flyweight/flyweight/bantamweight,,,Orthodox,43,22.0,10.0,15.0,4.0,2.0,M,,,Nicaragua,Nicaraguan,Sagittarius,flyweight
950,950,Pedro Alcázar,1975-08-29,"Zapayal, Panama",flyweight,5 ft 4 in (163 cm),,Orthodox,28,25.0,14.0,1.0,1.0,1.0,M,163.0,,Panama,Panamanian,Virgo,flyweight
951,951,Marvin Sonsona,1990-07-25,"General Santos, Philippines",welterweight/featherweight/bantamweight/flyweight/flyweight,5 ft 7 in (1.70 m),,Southpaw,24,22.0,15.0,1.0,1.0,,M,170.0,,Philippines,Filipino,Leo,flyweight
952,952,Kazuto Ioka,1989-03-24,"Sakai, Japan",flyweight/flyweight/flyweight/flyweight,5 ft 5 in (165 cm),66+1⁄2 in (169 cm),Orthodox,34,31.0,16.0,2.0,1.0,,M,165.0,169.0,Japan,Japanese,Aries,flyweight
953,953,Junto Nakatani,1998-01-02,"Inabe, Mie Prefecture Japan",flyweight/flyweight/bantamweight,5 ft 7+1⁄2 in (171 cm),67 in (170 cm),Southpaw,27,27.0,20.0,,,,M,171.0,170.0,Japan,Japanese,Capricorn,flyweight
954,954,Kosei Tanaka,1995-06-15,"Tajimi, Japan",flyweight/flyweight/flyweight/flyweight,5 ft 4+1⁄2 in (164 cm),64+1⁄2 in (164 cm),Orthodox,21,20.0,11.0,1.0,,,M,164.0,164.0,Japan,Japanese,Gemini,flyweight
955,955,Elvis Álvarez,1965-02-02,"Medellín, Antioquia, Colombia",flyweight/flyweight/bantamweight,,,Southpaw,42,31.0,19.0,8.0,3.0,,M,,,Colombia,Colombian,Aquarius,flyweight
956,956,Isidro Pérez,1964-05-24,"Guerrero, Mexico",featherweight/bantamweight/flyweight/flyweight,5 ft 9 in (177 cm),72 in (183 cm),Orthodox,69,57.0,41.0,9.0,3.0,0.0,M,177.0,183.0,Mexico,Mexican,Gemini,flyweight
957,957,Pat Clinton,1964-04-04,"Croy, Lanarkshire, Scotland",flyweight,5 ft 3 in (160 cm),,,23,20.0,9.0,3.0,0.0,,M,160.0,,Scotland,British(scottish),Aries,flyweight
958,958,Jacob Matlala,1962-08-01,"Meadowlands, Gauteng, South Africa",flyweight/flyweight,4 ft 10 in (147 cm)[1],59 in (150 cm),Orthodox,68,53.0,26.0,13.0,2.0,0.0,M,147.0,150.0,South Africa,South African,Leo,flyweight
959,959,Rubén Sánchez León,1973-08-21,"Mexicali, Baja California, Mexico",lightweight/featherweight/bantamweight/flyweight,5 ft 7 in (168 cm),72 in (183 cm),Orthodox,47,30.0,13.0,16.0,1.0,0.0,M,168.0,183.0,Mexico,Mexican,Leo,flyweight
960,960,José Antonio López Bueno,1974-08-16,"Zaragoza, Aragon, Spain",flyweight,5 ft 2+1⁄2 in (159 cm),,Orthodox,45,31.0,15.0,10.0,4.0,,M,159.0,,Spain,Spanish,Leo,flyweight
961,961,Julio César Miranda,1980-05-19,"Veracruz, Mexico",flyweight/bantamweight,5 ft 3 in (160 cm),64+1⁄2 in (164 cm),Orthodox,58,42.0,32.0,14.0,2.0,,M,160.0,164.0,Mexico,Mexican,Taurus,flyweight
962,962,Zou Shiming,1981-05-18,"Zunyi, China",flyweight,5 ft 4+1⁄2 in (164 cm),64+1⁄2 in (164 cm),,11,9.0,2.0,2.0,,,M,164.0,164.0,China,Chinese,Taurus,flyweight
963,963,Sho Kimura,1988-11-24,"Kumagaya, Saitama, Japan",flyweight,5 ft 5 in (165 cm),66+1⁄2 in (169 cm),Orthodox,26,19.0,12.0,3.0,4.0,,M,165.0,169.0,Japan,Japanese,Sagittarius,flyweight
964,964,Josué Camacho,1969-01-31,"Guaynabo, Puerto Rico",flyweight/flyweight,5 ft 4 in (163 cm),,,25,16.0,6.0,9.0,0.0,0.0,M,163.0,,Puerto Rico,American(Puerto Rican),Aquarius,flyweight
965,965,Paul Weir,1967-09-16,"Glasgow, Scotland",flyweight/flyweight/flyweight,5 ft 3 in (160 cm),,,20,14.0,4.0,6.0,,,M,160.0,,Scotland,British(scottish),Virgo,flyweight
